World War I African American Soldiers: North Carolina: 317 Units						#5	#6																																																																															
FILE	#1	#1	#2	#3	#4	OVERSEAS SERVICE DATES		#7																																																																														
Number	Last	First	City	Date	LAST UNIT	From 	To	Discharge Date																																																																														
WW-I-Card_World-War-I-Service-Card-2-i_11448.txt	Hames	George	Asheville	11/27/1917	Co B 371 Inf	4/7/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-j_12430.txt	Harris	Arthur	Asheville	7/17/1918	Chem Warfare Serv			2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14131.tif	Hemphill	Carl	Asheville	9/28/1917	156 Dep Brig	10/18/1917	4/18/1919	5/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14132.txt	Hemphill	Clyde	Asheville	10/30/1917	Co F 367 Inf	6/10/1918	3/1/1919	3/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14379.txt	Henry	John	Asheville	5/1/1918	Co D 367 Inf	6/10/1918	3/1/1919	3/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14365.txt	Henry	Decoster	Asheville	6/21/1918	14 Co 4 Bn 155 Dep Brig	9/8/1918	4/30/1919	5/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04233.tif	Jackson	Benjamin	Asheville	11/1/1917	Inf C Colored Rep Bn Casual	6/10/1918	5/8/1919	5/29/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_05418.txt	Johnson	Harry	Asheville	1/7/1913	Co K 25 Inf	10/19/1918	7/24/1919	2/2/1920 ETS																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_06974.txt	Jordan	Alfred James	Asheville	3/28/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_06972.txt	Jordan	Albert	Asheville	6/20/1918	814 Pion Inf	10/6/1918	12/18/1918	1/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_08759.txt	Knox	Belton	Asheville	3/29/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_09481.txt	Latham	James	Asheville	6/20/1918	Cas Co 689 Camp Alexander Va 	10/6/1918	5/24/1919	5/27/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_10236.txt	Leggett	William	Asheville	6/13/1917	Co E 372 Inf	3/30/1918	2/11/1919	3/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-c_03726.txt	Martin	Wilburn McK	Asheville	10/14/1918	Student Army Tng C Greensboro			12/12/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_00640.txt	McClelland	Lee	Asheville	2/18/1918	Co I 371 Inf	4/5/1918	2/11/1919	3/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-a_00761.txt	McCorkle	Raymond	Asheville	6/20/1918	4 Cas Co Cp Hill VA			12/11/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-b_01802.tif	McKissick	Ernest	Asheville	4/29/1918	Btry F 349 FA	8/22/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05145.txt	Miller	Gordon	Asheville	2/28/1918	Co D 313 Serv Bn QMC	3/28/1918	6/28/1919	7/1/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05304.txt	Miller	Thornton	Asheville	6/20/1918	Co D 532 Engrs	8/22/1918	7/11/1919	7/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05207.txt	Miller	John	Asheville	12/22/1917	Co D 313 Serv Bn	3/28/1918	6/5/1919	6/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05200.txt	Miller	John	Asheville	4/29/1918	Co B 534 Engrs	9/1/1918	7/8/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08069.txt	Nash	Bascom	Asheville	7/17/1918	Co B 545 Engrs	9/23/1918	6/27/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08258.txt	Nelson	Dedrick	Asheville	1/16/1918	Co C 365 Inf	6/10/1918	2/24/1919	3/18/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_10270.txt	Parker	George	Asheville	12/17/1917	Co G 371 Inf	4/7/1918	2/14/1919	3/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_10742.txt	Pasley	Thomas	Asheville	7/18/1918	Co A 370 Inf	8/23/1918	2/9/1919	2/25/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_11057.txt	Payne	Julian	Asheville	12/17/1917	Co G 371 Inf	4/7/1918	2/12/1919	3/39/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-i_11476.txt	Penland	Claude	Asheville	6/20/1918	Co A 13 Bn Rep Tr Center			1/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-m_17082.txt	Robinson	Paul	Asheville	6/20/1918	CO F 801 PI	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-o_20877.txt	Sims	Robert	Asheville	2/23/1918	Co D 313 Serv Bn QMC	3/28/1918	7/14/1919	7/23/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-c_02815.txt	Sullivan	Jesse	Asheville	6/20/1918	5 Co Dev Bn 159 DB			10/7/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-5-d_05342.txt	Toliver	Sam	Asheville	12/17/1917	Co I 369 Inf	4/6/1918	2/11/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-f_07187.txt	Walker	James Charles	Asheville	3/28/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-g_09748.txt	White	Preston	Asheville	7/17/1918	Co C 808 Pion Inf	8/31/1918	6/22/1919	7/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_09953.txt	Whiteside	James	Asheville	10/15/1918	Student Army Tng C Greensboro			12/12/1918																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10921.txt	Williams	George	Asheville	4/22/1917	Tr G 9 Cav			7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-i_11506.txt	Williams	Walter	Asheville	6/20/1918	Co D 520 Engrs Serv Bn	8/31/1918	6/26/1919	7/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_11146.txt	Williams	John Henry	Asheville	3/28/1918	Co B 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-i_12014.txt	Wilson	Herbert	Asheville	8/8/1918	Co L 813 Pion Inf	9/15/1918	5/30/1919	6/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_12889.txt	Woodford	Fitzhugh	Asheville	7/30/1917	Med Dept 	9/1/1917	8/29/1919	9/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-a_00549.txt	Sparks	Peter Newman	Askins	4/1/1918	Co A 365 Inf	6/9/1918	5/16/1919	5/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_08414.txt	Newkirk	Lloyd	Atkinson	4/27/1918	Co A 365 Inf	6/10/1918	2/24/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_01347.txt	Deloatch	Isaac	Aulander	4/2/1918	Hq Co 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-i_11452.txt	Hamiel	David	Aurelian Springs	8/2/1918	Hq & Sup Co 304 Stev Regt			5/23/1919																																																																														
WW-I-Card_World-War-I-Service-Card-c_03575.txt	Barnes	John	Aurora	4/2/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07236.txt	Fuller	William David	Aurora	4/2/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05536.txt	Minor	Cornelius	Aurora	7/16/1918	Co M 811 Pion Inf			10/2/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-e_06397.txt	Moore	James	Aurora	4/2/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-h_10576.txt	Wilkison	John	Aurora	4/2/1918	Co D 365 Inf	6/10/1918	2/11/1919	9/9/1919 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-4-m_16873.txt	Robertson	John	Austin	7/30/1918	Co D 545 Engrs	10/1/1918	5/29/1919	6/17/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-g_08483.txt	Giles	Albert	Avoca	4/2/1918	Sup Co 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04815.txt	Bell	James	Ayden	6/20/1918	Co B 532 Engrs	8/21/1918	6/30/1919	7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-i_11472.txt	Cannon	William	Ayden	10/19/1917	Casual Co Steve Camp Camp Hill VA			3/19/1918																																																																														
WW-I-Card_World-War-I-Service-Card-l_15773.txt	Cox	Clarence	Ayden	4/27/1918	Co M 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00006.txt	Darden	Cary	Ayden	4/26/1918	Co M 366 Inf	6/13/1918	3/11/1919	3/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-h_10497.txt	Grimes	John	Ayden	4/1/1918	2 Development Bn			12/20/1918																																																																														
WW-I-Card_World-War-I-Service-Card-3-c_04028.txt	Inman	Arthur	Ayden	4/1/1918	Co D 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
